,XID,Name,Kind,City,OSM,WikiData,Rate,Lon,Lat
135,R2059374,Монумент героям Волжской военной флотилии,"historic,monuments_and_memorials,interesting_places,monuments",Нижний Новгород,relation/2059374,Q4302191,3h,43.988407,56.329079
136,N5141071785,Гарнизонная казарма,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",Нижний Новгород,node/5141071785,Q100701435,3h,44.004299,56.327614
137,N1056966401,Памятник жертвам и мученикам революции 1905 года,"historic,monuments_and_memorials,interesting_places,monuments",Нижний Новгород,node/1056966401,Q4343468,3h,44.01601,56.316841
138,W108727791,Домик Петра I,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",Нижний Новгород,way/108727791,Q4165829,3h,43.994991,56.325508
139,R3368610,Государственный центральный банк,"architecture,historic_architecture,interesting_places,banks,bank,tourist_facilities,other_buildings_and_structures",Нижний Новгород,relation/3368610,Q4146786,3h,43.998787,56.32003
140,N2295063253,Экспозиция «Подвиг народного единства»,"towers,architecture,cultural,museums,interesting_places,other_museums,other_towers",Нижний Новгород,node/2295063253,Q19692529,3h,43.999737,56.329956
141,W152110807,Усадьба Рукавишниковых,"biographical_museums,architecture,historic_architecture,cultural,museums,interesting_places,manor_houses",Нижний Новгород,way/152110807,Q80028563,3h,44.016083,56.329319
142,W151905928,Театр оперы и балета,"cultural,theatres_and_entertainments,interesting_places,music_venues,opera_houses",Нижний Новгород,way/151905928,Q172218,3h,44.017212,56.315525
143,W219812603,Обелиск Минину и Пожарскому,"historic,monuments_and_memorials,urban_environment,cultural,interesting_places,sculptures,monuments",Нижний Новгород,way/219812603,Q4329133,3h,44.00243,56.32901
144,W52464978,Церковь Знамения Божией Матери и святых Жен-Мироносиц,"religion,churches,interesting_places,eastern_orthodox_churches",Нижний Новгород,way/52464978,Q4504699,3h,43.995018,56.324314
145,R2323263,Ивановская башня,"towers,architecture,fortifications,historic,cultural,museums,interesting_places,other_museums,other_towers,fortified_towers",Нижний Новгород,relation/2323263,Q19692529,3h,43.999634,56.329887
146,W151905925,Нижегородский острог,"cultural,museums,interesting_places,museums_of_science_and_technology,history_museums,other_technology_museums",Нижний Новгород,way/151905925,Q4318666,3h,44.017006,56.317223
147,R546053,Сормовский парк,"urban_environment,gardens_and_parks,cultural,interesting_places",Нижний Новгород,relation/546053,Q4429057,3h,43.856071,56.338352
148,R2990812,Блиновский пассаж,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",Нижний Новгород,relation/2990812,Q79494225,3h,43.988136,56.32814
149,W151548188,Шахматный дом (Игорный дом А.И. Троицкого),"architecture,historic_architecture,interesting_places,other_buildings_and_structures",Нижний Новгород,way/151548188,Q93622482,3h,44.011173,56.325016
150,N585136663,Рекорд,"cultural,cinemas,theatres_and_entertainments,interesting_places",Нижний Новгород,node/585136663,Q99522676,3h,44.00481,56.323887
151,W151302806,Нижегородская государственная консерватория им. М.И. Глинки,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",Нижний Новгород,way/151302806,Q4318618,3h,44.012947,56.327446
152,R2888456,Церковь Рождества Иоана Предтечи,"religion,churches,interesting_places,other_churches",Нижний Новгород,relation/2888456,Q2037203,3h,43.998135,56.329777
153,R2906501,Коромыслова башня,"towers,architecture,interesting_places,other_towers",Нижний Новгород,relation/2906501,Q51885129,3h,43.998951,56.325813
154,W147599580,Усадьба Добролюбовых,"cultural,museums,interesting_places,other_museums",Нижний Новгород,way/147599580,Q65175093,3h,43.99844,56.322536
155,R2906496,Борисоглебская башня,"towers,architecture,fortifications,historic,interesting_places,other_towers,fortified_towers",Нижний Новгород,relation/2906496,Q30891111,3h,44.006256,56.330738
156,W147599581,Дом-музей Добролюбова,"national_museums,biographical_museums,cultural,museums,interesting_places,history_museums",Нижний Новгород,way/147599581,Q65175093,3h,43.998371,56.322746
157,W152110787,Дом Сироткина,"cultural,museums,interesting_places,other_museums",Нижний Новгород,way/152110787,Q99929827,3h,44.012966,56.329269
158,W170361331,Спасский староярмарочный кафедральный собор,"religion,cathedrals,churches,interesting_places,eastern_orthodox_churches",Нижний Новгород,way/170361331,Q1916538,3h,43.953976,56.331402
159,R2906497,Георгиевская башня,"towers,architecture,fortifications,historic,interesting_places,other_towers,fortified_towers",Нижний Новгород,relation/2906497,Q27781792,3h,44.008911,56.330097
160,R2767108,Локомотив,"sport,architecture,historic_architecture,interesting_places,stadiums,other_buildings_and_structures",Нижний Новгород,relation/2767108,Q2503505,3h,43.929649,56.309647
161,R4864923,Крестовоздвиженский монастырь,"religion,monasteries,interesting_places",Нижний Новгород,relation/4864923,Q4240402,3h,43.981781,56.307186
162,W147551305,Доходный дом купчихи П. Е. Кубаревой,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",Нижний Новгород,way/147551305,Q84609804,3h,43.977024,56.324112
163,R555801,Чкаловская лестница,"historic,monuments_and_memorials,interesting_places,monuments",Нижний Новгород,relation/555801,Q4516884,3h,44.009453,56.330681
164,R2917119,Администрация Нижнего Новгорода,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",Нижний Новгород,relation/2917119,Q28032873,3h,44.005398,56.329159
165,R2906495,Белая башня,"towers,architecture,interesting_places,other_towers",Нижний Новгород,relation/2906495,Q27781780,3h,44.001812,56.330524
166,N5141054174,Дом Советов,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",Нижний Новгород,node/5141054174,Q28032873,3h,44.005836,56.328762
167,R2906505,Пороховая башня,"towers,architecture,interesting_places,other_towers",Нижний Новгород,relation/2906505,Q51946190,3h,44.007252,56.328491
168,N4929597723,Чкаловская лестница ,"historic,monuments_and_memorials,interesting_places,monuments",Нижний Новгород,node/4929597723,Q4516884,3h,44.009426,56.330471
169,N4995217430,Чкаловская лестница,"historic,monuments_and_memorials,interesting_places,monuments",Нижний Новгород,node/4995217430,Q4516884,3h,44.009453,56.330479
170,W151905929,Церковь во имя Всемилостивейшего Спаса,"religion,churches,interesting_places,eastern_orthodox_churches",Нижний Новгород,way/151905929,Q4500767,3h,44.024475,56.31905
171,R2174006,Храм Живоначальной Троицы,"religion,churches,interesting_places,eastern_orthodox_churches",Нижний Новгород,relation/2174006,Q16715808,3h,44.046577,56.308556
172,W164712659,Церковь в честь Преображения Господня,"religion,other_temples,interesting_places",Нижний Новгород,way/164712659,Q104776528,3h,44.072117,56.318909
173,N1808680328,Музей науки «Нижегородская радиолаборатория»,"cultural,museums,science_museums,interesting_places",Нижний Новгород,node/1808680328,Q1994279,3h,44.013882,56.329411
174,W149417079,Крестовоздвиженский собор,"religion,monasteries,interesting_places",Нижний Новгород,way/149417079,Q4240402,3h,43.982094,56.307251
175,W918325991,Губернаторский сад,"urban_environment,gardens_and_parks,cultural,interesting_places",Нижний Новгород,way/918325991,Q100882660,3h,44.005272,56.329803
176,N262652256,М. Горькому,"historic,monuments_and_memorials,urban_environment,cultural,interesting_places,sculptures,monuments",Нижний Новгород,node/262652256,Q4343244,3h,43.990711,56.31348
177,R2906500,Кладовая башня,"towers,architecture,fortifications,historic,interesting_places,other_towers,fortified_towers",Нижний Новгород,relation/2906500,Q51946155,3h,44.003525,56.326359
178,W85787924,Спасо-преображенский собор,"religion,churches,interesting_places,other_churches",Нижний Новгород,way/85787924,Q2403914,3h,43.872032,56.349922
179,W151905901,Церковь во имя Всемирлостивейшего Спаса,"religion,churches,interesting_places,eastern_orthodox_churches",Нижний Новгород,way/151905901,Q4500767,3h,44.024479,56.319065
180,R2969244,Церковь во имя Святого Пророка Божия Илии,"religion,churches,interesting_places,eastern_orthodox_churches",Нижний Новгород,relation/2969244,Q59901,3h,43.993713,56.328205
181,R2323262,Зачатьевская башня,"towers,architecture,fortifications,historic,cultural,museums,interesting_places,other_museums,other_towers,fortified_towers",Нижний Новгород,relation/2323262,Q18408061,3h,44.003357,56.33083
182,Q97999957,Здание Удельной конторы,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",Нижний Новгород,,Q97999957,3h,44.021175,56.325153
183,Q3860437,Печёрский Вознесенский монастырь,"religion,monasteries,interesting_places",Нижний Новгород,,Q3860437,3h,44.049721,56.322777
184,Q16715547,Церковь Александра Невского в Сормово,"religion,churches,interesting_places,eastern_orthodox_churches",Нижний Новгород,,Q16715547,3h,43.868862,56.357773
185,Q77756790,Усадьба Вяхиревых,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",Нижний Новгород,,Q77756790,3h,43.974319,56.321663
186,Q78114479,Дом Ермолаевых — П. Парфёнова,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",Нижний Новгород,,Q78114479,3h,43.987328,56.315933
187,Q83495700,Доходный дом Б. Н. Юсупова,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",Нижний Новгород,,Q83495700,3h,44.000031,56.322086
188,Q83560635,Торговый флигель О. Н. Каменевой,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",Нижний Новгород,,Q83560635,3h,43.995853,56.317665
189,Q84172585,Дом Е. Трушенинниковой,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",Нижний Новгород,,Q84172585,3h,44.010155,56.329014
190,Q84340772,Дом Виноградовых,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",Нижний Новгород,,Q84340772,3h,43.987938,56.323109
191,Q84767074,Дом М. В. Медведева,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",Нижний Новгород,,Q84767074,3h,43.976734,56.323944
192,Q86683423,Здание Волжско-Камского банка,"historic_architecture,architecture,interesting_places,bank,banks,tourist_facilities,other_buildings_and_structures",Нижний Новгород,,Q86683423,3h,43.991901,56.329498
193,Q86684971,Дом И. Н. Соболева,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",Нижний Новгород,,Q86684971,3h,43.98222,56.326599
194,Q88379274,Дом А. И. Фролова,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",Нижний Новгород,,Q88379274,3h,44.004597,56.321331
195,Q96240614,Казанская церковь (Кстово),"religion,churches,interesting_places,eastern_orthodox_churches",Нижний Новгород,,Q96240614,3h,44.172501,56.181389
196,Q96337173,Усадьба Е. И. Богоявленской,"architecture,historic_architecture,interesting_places,manor_houses",Нижний Новгород,,Q96337173,3h,44.027401,56.323872
197,Q96591455,Усадьба Киршбаумов,"architecture,historic_architecture,interesting_places,manor_houses",Нижний Новгород,,Q96591455,3h,44.019402,56.323601
198,Q97163612,Дом А. К. Фомина,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",Нижний Новгород,,Q97163612,3h,44.011063,56.328957
199,Q4165515,Дом культуры ГУВД (Нижний Новгород),"historic_architecture,architecture,interesting_places,other_buildings_and_structures",Нижний Новгород,,Q4165515,3h,43.988495,56.316048
200,W129207551,Церковь Никиты Великомученика,"religion,churches,interesting_places,eastern_orthodox_churches",Владимир,way/129207551,Q18331765,3h,40.397797,56.130745
